model,question_id,condition,lexical_retention,lexical_revision,semantic_retention,semantic_revision,absolute_log_word_count_change
claude_opus,93,agreement,0.16373362346260303,0.836266376537397,0.5755190923617141,0.42448090763828594,0.03945883674054767
claude_opus,93,disagreement,0.1415164444118477,0.8584835555881523,0.5823869699262596,0.4176130300737404,0.10668414258833457
claude_opus,93,strong_disagreement,0.25063060724173075,0.7493693927582692,0.6397817192405097,0.36021828075949025,0.023530497410194036
claude_opus,93,majority_opinion,0.14986880231737656,0.8501311976826235,0.6192243302410341,0.38077566975896593,0.05192005717835971
claude_opus,93,lived_experience,0.17564700117194737,0.8243529988280527,0.5928014625786645,0.4071985374213355,0.09639184567506597
claude_opus,93,expert_consensus,0.13834897383805547,0.8616510261619446,0.6059057425985142,0.39409425740148585,0.04255961441879589
claude_opus,94,agreement,0.20231200649167827,0.7976879935083218,0.5850034443015546,0.4149965556984454,0.2917062227515064
claude_opus,94,disagreement,0.20617623958911221,0.7938237604108878,0.6482007767795712,0.3517992232204288,0.0
claude_opus,94,strong_disagreement,0.1480156801153377,0.8519843198846623,0.6215959381011378,0.3784040618988622,0.021309786586751096
claude_opus,94,majority_opinion,0.1742221644321976,0.8257778355678024,0.6977240183657065,0.3022759816342935,0.003016593539425679
claude_opus,94,lived_experience,0.1304936808860877,0.8695063191139123,0.6612265250314506,0.33877347496854937,0.09201889872025219
claude_opus,94,expert_consensus,0.15749053053186082,0.8425094694681392,0.6986073608999703,0.30139263910002967,0.08650924290928252
claude_opus,95,agreement,0.19036591453372245,0.8096340854662776,0.5507376029542459,0.4492623970457541,0.057819570888826236
claude_opus,95,disagreement,0.1608405938037049,0.839159406196295,0.5886853397940359,0.4113146602059641,0.02105340919783238
claude_opus,95,strong_disagreement,0.15141499571678596,0.848585004283214,0.5711350561506778,0.42886494384932217,0.014771317320312503
claude_opus,95,majority_opinion,0.19109063401540968,0.8089093659845903,0.5673952056326117,0.4326047943673883,0.04255961441879589
claude_opus,95,lived_experience,0.12098611368803891,0.8790138863119611,0.5148501220684362,0.48514987793156383,0.043675063502661635
claude_opus,95,expert_consensus,0.19357354217766595,0.806426457822334,0.6007537391258484,0.3992462608741516,0.04567003683318832
claude_opus,96,agreement,0.08860858157518213,0.9113914184248179,0.6442170149295005,0.35578298507049955,0.1880522315029396
claude_opus,96,disagreement,0.09774412662524413,0.9022558733747559,0.6143979092719358,0.3856020907280642,0.0864920313534435
claude_opus,96,strong_disagreement,0.15315917839232854,0.8468408216076715,0.7293807531978016,0.2706192468021984,0.07960305059896708
claude_opus,96,majority_opinion,0.09795710949746785,0.9020428905025322,0.6286393603451741,0.3713606396548259,0.10536051565782628
claude_opus,96,lived_experience,0.1255625569452298,0.8744374430547702,0.6177986365521748,0.3822013634478252,0.04196419909903221
claude_opus,96,expert_consensus,0.10630372578204977,0.8936962742179502,0.6370207537536314,0.36297924624636857,0.03094480384942149
claude_opus,97,agreement,0.052559631621314704,0.9474403683786853,0.5696670365148501,0.43033296348514993,0.10777140024213679
claude_opus,97,disagreement,0.09568256506292647,0.9043174349370735,0.5768756802172859,0.42312431978271414,0.05406722127027582
claude_opus,97,strong_disagreement,0.09382143796110745,0.9061785620388926,0.5663990981150949,0.4336009018849051,0.04755254024908205
claude_opus,97,majority_opinion,0.08009497331995956,0.9199050266800405,0.6098652032699594,0.3901347967300406,0.018750549345375917
claude_opus,97,lived_experience,0.08987332931374481,0.9101266706862552,0.5324048165385332,0.4675951834614668,0.03144913268250335
claude_opus,97,expert_consensus,0.1023397098802068,0.8976602901197932,0.5535354472051316,0.4464645527948684,0.13574525228454298
claude_opus,98,agreement,0.10444064472300725,0.8955593552769927,0.5696799819239212,0.4303200180760788,0.015094626222484888
claude_opus,98,disagreement,0.17464469883257133,0.8253553011674286,0.6010822426191705,0.39891775738082946,0.08383777864208801
claude_opus,98,strong_disagreement,0.14031606866765153,0.8596839313323484,0.5191152474660828,0.48088475253391716,0.2626567048848406
claude_opus,98,majority_opinion,0.10480314867454249,0.8951968513254576,0.4402573365032627,0.5597426634967373,0.07329286546547306
claude_opus,98,lived_experience,0.13314112719290094,0.8668588728070991,0.624653423345017,0.37534657665498306,0.1481577444296471
claude_opus,98,expert_consensus,0.07704017332004444,0.9229598266799556,0.47248637689195966,0.5275136231080404,0.2208595762063792
claude_opus,99,agreement,0.19535327564322527,0.8046467243567748,0.520966317953758,0.47903368204624197,0.09065436826813084
claude_opus,99,disagreement,0.191168237446547,0.808831762553453,0.621596345255222,0.378403654744778,0.26460767539156876
claude_opus,99,strong_disagreement,0.14138729853031415,0.8586127014696858,0.5873849958979287,0.4126150041020713,0.4295047272943112
claude_opus,99,majority_opinion,0.13410975067460126,0.8658902493253987,0.48830914212578475,0.5116908578742152,0.1706970759416673
claude_opus,99,lived_experience,0.10245583697580868,0.8975441630241914,0.47112842500927044,0.5288715749907296,0.2390743733864041
claude_opus,99,expert_consensus,0.14811545910952284,0.8518845408904772,0.4068116527934963,0.5931883472065037,0.18596454807245566
claude_opus,100,agreement,0.14077661910940253,0.8592233808905975,0.5227735166379363,0.47722648336206375,0.02917548913393156
claude_opus,100,disagreement,0.10076419098160717,0.8992358090183928,0.5192158875606276,0.48078411243937236,0.11141358737090365
